гэж	as,that
би	i
өөрийн	his,own
тэр	he,she,would
байсан	was,had,were,did,been
нь	for, with, from, is, to, a/an, in, which, will, fact, whose
дээр	on,up,over
байна	are,have,has,am
тэд	they
байх	be,stay
үед	at,when,during
нэг	one,same,single
энэ	this,it,pron. this
өөр	by,else,another
халуун	hot
үг	word
харин	but,while,rather
ямар	what
зарим	some
хэрэв та	you
буюу	or
олон тоо	the
 -ийн	of
болон	and
бид	we
болох	can,could,may,happen
гарах	out,to leave/exit
бусад	other,rest,except
хийх	do,make,to do
тэдний	their
цаг	time,hour,clock,term
хэрэв	if
хэрхэн	how
гэж хэлсэн	said,told
тус бүр	each
хэлэх	tell
вэ	does
багц	set
гурван	three
хүсэж байна	want
агаар	air
сайн	well,good,better,good
мөн	also,too
тоглох	play,to play
жижиг	small
эцсийн	end,final
тавих	put,lay,to put
нүүр хуудас	home
уншсан	read
гар	hand,arm,arm
порт	port
их хэмжээний	large
ид шид	spell
нэмэх	add
тэр ч байтугай	even
газар	n. land, place, area, station, earth
энд	here,there
байх ёстой	must,should
том	big
өндөр	high,tall,tall
зэрэг	adj. such, order, degree
дагах	follow
акт	act
яагаад	why
асуух	ask,to ask
эрэгтэй	men
өөрчлөлт	change
явав	went
гэрэл	light,shine
төрөл	kind,type
унтраах	off
хэрэгтэй	need
байшин	house
зураг	picture,figure,chart
оролдох	try,to try
ану-ын	us
дахин	again
мал, амьтны	animal
цэг	point
ээж	mother
дэлхийн	world
ойролцоо	near
барих	build,take,hold,catch,touch
өөрөө	self
дэлхий	earth
аав	father,dad
ямар ч	any,no
шинэ	new,fresh
ажил	work,job
хэсэг	n. part, piece, fraction, section, bit, segment
авах	get,to take
хийсэн	made
амьдарч байна	live
хаана	where
дараа	after,then
буцааж	back
бага	little,low,less
нь зөвхөн	only
дугуй	round,wheel,tire,circle
хүн	man,people,who,person
жил	year
ирсэн	came
шоу	show
бүх	every,all
намайг	me
өгөх	give,provide,to give
манай	our
дагуу	under
нэр	name
маш их	very,much,lot
дамжуулан	through
зүгээр л	just
хэлбэр	form,shape
өгүүлбэр	sentence,phrase
агуу их	great
гэж боддог	think
гэж хэлэх	say
туслах	help,to help
мөр	line,string,shoulder
өөр өөр	differ,vary
ээлж	turn
шалтгаан	cause,reason
гэсэн үг	mean,meant
өмнө	prep. before, ago
алхам	move,step
эрх	right
хүү	boy,interest,son,son
хуучин	old
ашиглах	use
таны	your
арга зам	way
тухай	about
олон	many
тэднийг	them
бичих	write,to write
шиг	like
тийм	so
эдгээр	these
түүнийг	her,him
урт	long
зүйл	thing
 -г үзнэ үү	see
хоёр	two
харах	look,watch,view,to see/look at
дэлгэрэнгүй	more
өдөр	day
явах	go,ride,to go/leave for
ирэх	come,arrive,to come
тоо	number,count
сонсогдож	sound
хамгийн их	most
миний	my
мэдэх	know,to know
ус	water
илүү	than
дуудлага	call
эхний	first
доош	down
тал	side
яг одоо	now
олох	find,locate
дарга	head,chair
зогсож	stand
хуудас	page,sheet,slip
улс орон	country,nation
олдлоо	found
хариулт	answer
сургууль	school
ургадаг	grow
судалгаа	study
хэвээр	still
сурах	learn,to study
ургамал	plant
хамгаалах	cover
хоол хүнс	food
нар	sun
дөрвөн	four
хооронд	between
улсын	state
байлгах	keep, carry, retain
нүдний	eye
хэзээ ч	never
өнгөрсөн	last,past
зөвшөөрөх	let
гэж бодсон	thought
мод	tree,wood,stick,wood/tree
гаталж	cross
аж ахуй	farm
хатуу	hard,solid
эхлэл	start
байж болох юм	might
түүх	story,pick,history
харсан	saw
хол	far
далайн	sea
зурж	draw
зүүн	adj. left,east
сүүлээр	late
урсгал	run,flow
хийж чадахгүй	don’t
гэж сонгоод	press,select
ойр	close
шөнө	night
бодит	real
амьдрал	life
хэдэн	few, how many
хойд	north
ном	book
авч явах	carry
авч	took
шинжлэх ухаан	science
идэж	eat
өрөө	room
найз	friend
эхэлсэн	began
санаа	idea
загас	fish
уулын	mountain
зогсоох	stop
нэг удаа	once
үндсэн	base,main,basic
сонсооч	hear
морь	horse
тайрах	cut
байгаа эсэхийг	sure
өнгө	color
нүүр	face,front,lake
нээлттэй	open
шиг санагддаг	seem
хамтдаа	together
дараагийн	next
цагаан	white
хүүхдүүд	children
эхлэх	begin,to start,to begin
авсан	got
алхах	walk
жишээ	example
хөнгөвчлөх	ease
цаас	paper
бүлэг	group
үргэлж	always
дуу хөгжим	music
тэдгээр	those
аль аль нь	both
тэмдэг	mark,sign,symbol
нь ихэвчлэн	often
бичиг	letter
хүртэл	until
милийн	mile
голын	river
машины	car
хөл	n. feet, leg
тусламж	care
хоёр дахь	second
хангалттай	enough
энгийн	plain,simple
охин	girl,daughter
ердийн	usual
залуу	young
бэлэн	ready
дээр дурдсан	above
хэзээ нэгэн цагт	ever
улаан	red
жагсаалт	list
хэдийгээр	though
мэдрэх	feel
хэлэлцүүлэг	talk
шувуу	bird
удахгүй	soon
байгууллага	n. body, organ
нохой	n. dog
гэр бүл	n. family
шууд	direct
загвар	pose
орхих	v. to leave
дуу	song
хэмжих	measure
хаалга	n. door
бүтээгдэхүүн	product
хар	black
богино	short
тооны нэр	numeral
анги	class
салхины	wind
асуулт	question
бүрэн	adj. complete, full
хөлөг онгоц	ship
тэн	equal 
хагас	half
чулуулгийн	rock
гал түймэр	fire
урд	south
асуудал	problem,matter
мэдэж байсан	knew
өнгөрөх	pass
учир	since
дээд	top
бүхэлд	whole
хаан	king
гудамж,	street
инчийн	inch
үржүүлэх	multiply
юу ч биш	nothing
мэдээж	course
хүч	force
хөх	adj. blue
объект	object
шийдвэр	decide
газрын гадаргын	surface
гүн гүнзгий	deep
сар	moon
арал	island
систем	system
завгүй	busy
туршилтын	test
бичлэг	record
завь	boat
нийтлэг	common
алт	gold
аль болох	possible
нисэх онгоц	plane
үүний оронд	stead
хуурай,	dry
гайхдаг	wonder
инээд	laugh
мянган	thousand
гүйж	ran
